grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min; preco_ou_valor ;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P079;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f5acc1d2-7a39-4eb3-a409-2bb7a0c5539e;LAMPADA H7;OSRAM ;64210;;;1;1; R$ 122,50 ;;2026-06-29T13:17:46.540185+00:00;
P081;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;65e0cae5-7ae5-4fe9-bea9-af2ea2100c07;Disco de Freio Dianteiro;Sem Marca;;;;0;0; R$ -   ;;2026-04-29T17:49:18.942082+00:00;
P081;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;489084c4-ffb1-422e-92f1-41f627c7014e;DISCO DE FREIO DIANTEIRO;Sem Marca;;;;-1;0; R$ -   ;;2026-08-10T14:53:45.997096+00:00;
P083;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;239f6230-4bd5-44c1-948b-4be67790ab90;Jogo Pastilha Freio Dianteira;Sem Marca;;;;-1;0; R$ -   ;;2026-04-29T17:51:14.304823+00:00;
P083;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;533d0fce-ec6f-4994-bb3c-dccea48846b4;Jogo Pastilha Freio Dianteira;Sem Marca;;;;0;0; R$ -   ;;2026-04-29T17:51:21.076215+00:00;
P083;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.846;ceadf57b-6a5f-4b14-a241-4695c1073092;PASTILHA FREIO DIANTEIRA;Sem Marca;;;;-1;0; R$ -   ;;2026-07-28T20:53:42.261127+00:00;
P086;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;fb95390f-9e8e-42c5-8d9c-1d86a758ffbb;Óleo Motor 5W30;Sem Marca;;;;-1;0; R$ -   ;;2026-05-06T18:01:59.43106+00:00;
P086;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0f84b978-e563-4054-99f5-95e690151bf7;Óleo motor 5w30;Sem Marca;;;;-1;0; R$ -   ;;2026-05-26T19:09:44.13638+00:00;
P086;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;90193859-7ed8-43ed-bce3-1f1a36ac4d63;OLEO MOTOR 5W30;Sem Marca;;;27101932;-1;0; R$ -   ;;2026-07-20T17:49:22.362888+00:00;
P089;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;248efeff-56f9-4b4b-96d4-2f0c83f96307;RETENTOR VIRABREQUIM DIANTEIRO;Sem Marca;;;;-1;0; R$ -   ;;2026-07-09T13:25:32.051709+00:00;
P089;PRODUTO;ALTA;nomes praticamente idênticos;0.952;823ab6e2-b2ad-4f61-8257-1bd7845d75e8;RETENTOR DIANTEIRO VIRABREQUIM;Sem Marca;;;40169300;-1;0; R$ -   ;;2026-07-24T20:21:26.002206+00:00;
P091;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;9e807dd1-b8db-45ee-9293-55ca3d6c583e;CABO DE VELA;Sem Marca;;;85443000;-2;0; R$ -   ;;2026-07-14T20:28:51.139055+00:00;
P091;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0157a176-4fe7-408f-8a46-35c607f29936;CABO DE VELA ;Sem Marca;;;85443000;-1;0; R$ -   ;;2026-08-12T14:45:05.902192+00:00;
P093;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;bfcc03fc-1ca0-49b5-8af1-914d40c7562a;SOQUETE 3 POLOS;Sem Marca;;;;0;0; R$ -   ;;2026-07-17T18:11:27.02257+00:00;
P093;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.914;1132071f-2dcd-45de-a0c7-252ec0e62e55;SOQUETE 2 POLOS;Sem Marca;;;;0;0; R$ -   ;;2026-08-07T14:17:48.547262+00:00;
P095;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b74f5924-a664-4f89-bfba-b189011b0ec4;SOQUETE 3 POLOS - SINALIZAÇÃO PISCA LD;Sem Marca;;;;0;0; R$ -   ;;2026-07-17T18:12:29.496995+00:00;
P095;PRODUTO;ALTA;nomes praticamente idênticos;0.960;00f37fd8-6782-44e4-bb99-c266855a5a31;SOQUETE 2 POLOS - SINALIZAÇÃO PISCA LD;Sem Marca;;;;-1;0; R$ -   ;;2026-07-17T18:16:39.869663+00:00;
P097;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b4693199-126a-4c89-825b-f8326a9866d6;KIT AMORTECEDOR DIANTEIRO ;AXIOS;;;;1;5; R$ 630,14 ;;2026-07-22T13:09:02.106595+00:00;
P097;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.870;9895f0ca-db09-443c-b507-57e025581c4c;AMORTECEDOR DIANTEIRO ;Sem Marca;;;;-1;0; R$ -   ;;2026-08-14T17:13:52.064661+00:00;
P099;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c5391176-3bb4-4a91-8e90-f429ccd03ace;"PARAFUSO 8MM ""1,5""";Sem Marca;;;;-1;0; R$ -   ;;2026-07-27T20:22:13.270756+00:00;
P099;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.914;36e095af-c2e6-43c0-b97b-827450cc5a9b;"PARAFUSO 8MM ""2,5""";Sem Marca;;;;-1;0; R$ -   ;;2026-07-27T20:22:30.708607+00:00;
P101;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;4aa6ed88-d007-4b90-8ee9-a2c86d322cf0;CORREIA 6PK ;GATES;;;;-1;5; R$ 227,50 ;;2026-07-27T20:26:47.461385+00:00;
P101;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;a7862313-0d86-4d11-8c19-fcfa44a44b4d;CORREIA 6PK;Sem Marca;;;;-1;0; R$ -   ;;2026-08-11T18:27:24.002819+00:00;
P103;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;de7b563a-f16a-4ea0-a4a5-596547f912c9;CONJUNTO MODULO ABS - HIDROVACO - CILINDRO MESTRE;Sem Marca;;;;0;0; R$ -   ;;2026-07-30T14:20:35.557115+00:00;
P103;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.889;dde70e81-1d9d-4657-b2a3-247bb8b337a9;CONJUNTO MODULO ABS - HIDROVACO - CILINDRO MESTRE USADO;Sem Marca;;;;-1;0; R$ -   ;;2026-07-30T14:20:48.498606+00:00;
